LISTA DE ARTICULOS Nº 195 VIGENCIA 13/03/2024,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
CODIGO,DESCRIPCION,LISTA 1,
A001,Acel. Liv. Ika Renault y Ford pata corta.,14724.662,
A002,Acelerador biconico Ika R6- Dauphine.Pesado.,14765.125,
A003,Bomba de aceite 7/8 Chevrolet.,5575.314,
A004,Bomba de Freno 3/4 Chevrolet.,4313.036,
A005,Patin de Freno camiones Fiat.,22915.863,
A006,Acel. Bomba Iny. M. Benz. Todos. ,14996.990,
A007,Embrague Dodge 1500 y Mercedes Benz.,15915.200,
A008,Patin de Freno camiones Fiat y Chevrolet.,21183.680,
A009,Capot universal grande.,75295.360,
A010,Valvula exterior Fiat 125-128.N Orig.4170458.,33586.560,
A011,Valvula interior Fiat 125-128.N Orig.4145143.,21293.440,
A012,Pedalera Emb. y Freno Renault 4.Pedalera recta.,11195.520,
A013,Pedal de Embrague Renault 6.Pedal de Freno.,11854.080,
A014,Patin de Freno trasero Siam Di Tella.,11195.520,
A015,Emb. Bombin Ika Torino. Freno  mano Citroen.,5236.965,
A016,Embrague Ika Renault 6 - 12.,18237.681,
A017,Acelerador Universal pata corta. Acel.Renault 12.,8078.336,
A018,Embrague universal Ika Renault.Multiuso pesado.,14894.953,
A019,Patin Freno sup.del. y tras.Fiat 600-128-750.,11195.520,
A020,Pedalera de Embrague Ford y Chevrolet.,13610.240,
A021,Acelerador Ika. Gordini.,10493.056,
A022,Bombin de Freno y Embrague Ford Falcon.,9878.400,
A023,Freno de mano Fiat 600.,5927.040,
A024,Acelerador carburador Holley fino.Varios.,855.846,
A025,Acelerador carburador Holley. Grueso. Varios.,1144.408,
A026,Patin Freno Ika renault. Mod.viejo.,12073.600,
A027,Patin Freno superior trasero Fiat 1500-1600-125.,12073.600,
A028,Registro Freno de mano Dodge 1500.Mano Izquierda.,12073.600,
A029,Registro Freno de mano Dodge 1500. Mano derecha.,12073.600,
A030,Valvula interior Peugeot 504. Motor 1800-2000cc. Motor naf. Ref. Original 79.10.00.7413,18220.160,
A031,Valvula exterior Peugeot 504. Motor 1800-2000cc.Motor naf. Ref. Original 79.10.00.7414,32049.920,
A032,Retroceso pedalera de Embrague Ika Renault.,14268.800,
A033,Retorno cable de Embrague Fiat 600-128.,5770.556,
A034,Acelerador Dodge 1500 e Ika Renault. Largo.,9219.840,
A035,Acelerador Falcon y Siam Di tella. Cuerpo corto.,9219.840,
A036,Embrague 125-1600 90 HP.,12073.600,
A037,Resorte torsion caja pedalera Siam Di Tella.,11634.560,
A038,Sosten Patente trasera Peugeot.,7624.375,
A039,Acelerador Var.Izq.Mercedes Benz.Eq.con reformas.,11634.560,
A040,Acelerador var.der.Mercedes Benz.Eq. con reformas.,11634.560,
A041,Valvula Ford Falcon 6 cil.7bdas.Orig.C3DE6513A.,38416.000,
A042,Valvula Ford V8 239-256-293.Ref. orig.ECG-6513A.,42147.840,
A043,Acelerador Ford Falcon cuerpo largo.,10954.048,
A044,Capot camion y camioneta Dodge.,64758.400,
A045,Pedalera de Freno Camioneta Ford. Baul Fiat 128. Capot universal chico.,40830.720,
A046,Patin de Freno delantero Siam Di Tella y Morris.,14488.320,
A047,Embrague camiones Fiat.,24845.949,
A048,Patin zapata secundaria tras. y del. Rastrojero.,14488.320,
A049,Acelerador Universal Pata Larga.,9668.758,
A050,Retroceso Horq. Embrague Pik-Up Chevrolet y 400. Ford camiones cuerpo chico.,14488.320,
A051,Capot Chevrolet 400 -Ford camionetas y camiones.,75903.588,
A052,Capot Dodge 1500. Sosten asiento Peugeot unico mod. Capot universal mediano.,43562.608,
A053,Resorte de punta de palier Fiat 600.,1448.847,
A054,Pedal de Embrague Fiat 1500- 1600.,10869.971,
A055,Resorte de Valvula Fiat 133.Exterior.,30623.040,
A056,Resorte de Valvula Fiat 133. Interior.,17781.120,
A057,Levanta vidrios Ford. Varias Marcas.,5970.944,
A058,Acelerador Fiat 800 -750.,5930.193,
A059,Embrague Mercedes Benz. Traccion Universal.,6887.212,
A060,Acelerador corto Dodge l500-Acelerador multiuso- Palaca cambio Renault corto. ,9000.320,
A061,Embrague Rastrojero desde mod. 68.,8860.696,
A062,Escobilla Limpiaparabrisa corto universal. ,7463.680,
A063,Acelerador mariposa carb. Peugeot 403-404.Izq.,16354.240,
A064,Acelerador Opel K 180. Acelerador Chevrolet corto.,8846.656,
A065,Acelerador liviano Fiat 600.,8122.240,
A066,Acelerador Fiat 600. Original.,7544.354,
A067,Ret. Horq. Emb. y Acel. pata larga Ford-Chevrolet,10954.048,
A068,"Retroceso pedal de Freno y Embrague Ika Renault.Estanciera, Utilitario, Baqueano.",16464.000,
A069,Retroceso pedalera Ika Renault.,11854.080,
A070,Faro trapezoidal Peugeoty 504. Interior.,15781.091,
A071,Valvula Opel K 180. Ref. Orig. 2638339.,36879.360,
A072,Valvula Bedford naf. y diessel mod. 200-300-350. Ref. Original 7075224,36879.360,
A073,Levanta vidrios Ika Renault largo.,6367.306,
A074,Patin Freno de aire del. y tras. M. Benz.Eq. Ref.,51938.432,
A075,Caja velocidad y palanca de cambio Varios. Palanca de cambio Renault 12.,6146.560,
A076,Patin Freno Bedford. J-6 todos.,14466.368,
A077,"Patin sup. tras. Peugeot, mod.viejo.Patin Sup.Ika.",21284.118,
A078,"Patin Freno inferior Ika corto, todos.",10053.382,
A079,Embrague camioneta Dodge mod. 62/67.Pik-up 63/65.,12073.600,
A080,Valvula Chevy y Chevrolet 400. Pik-up 230- 250. Ref. Original 3864895.,34245.120,
A081,Valvula Dodge 1500.1498cc stand.Ref.Orig.71244440.,34245.120,
A082,Valvula Siam Di Tella 1500-1672. Ref. Orig.137578.,34245.120,
A083,Valvula ext. Torino Ika 7 bdas. Ref. Orig. 2214290,36001.280,
A084,Soporte ruleman empuje camion y camioneta Dodge.,4390.400,
A085,Tensor cadena distribuidor Ika Torino.,10954.048,
