LISTA DE ARTICULOS Nº 201 VIGENCIA 29/09/2025,,,
,RESORTES AUTOMOTOR,PRECIO UNIT,
CODIGO,DESCRIPCION,LISTA 1,
A001,Acel. Liv. Ika Renault y Ford pata corta.,14724.66,
A002,Acelerador biconico Ika R6- Dauphine.Pesado.,14765.13,
A003,Bomba de aceite 7/8 Chevrolet.,5575.31,
A004,Bomba de Freno 3/4 Chevrolet.,4313.04,
A005,Patin de Freno camiones Fiat.,22915.86,
A006,Acel. Bomba Iny. M. Benz. Todos. ,14996.99,
A007,Embrague Dodge 1500 y Mercedes Benz.,15915.20,
A008,Patin de Freno camiones Fiat y Chevrolet.,21183.68,
A009,Capot universal grande.,75295.36,
A010,Valvula exterior Fiat 125-128.N Orig.4170458.,33586.56,
A011,Valvula interior Fiat 125-128.N Orig.4145143.,21293.44,
A012,Pedalera Emb. y Freno Renault 4.Pedalera recta.,11195.52,
A013,Pedal de Embrague Renault 6.Pedal de Freno.,11854.08,
A014,Patin de Freno trasero Siam Di Tella.,11195.52,
A015,Emb. Bombin Ika Torino. Freno  mano Citroen.,5236.96,
A016,Embrague Ika Renault 6 - 12.,18237.68,
A017,Acelerador Universal pata corta. Acel.Renault 12.,8078.34,
A018,Embrague universal Ika Renault.Multiuso pesado.,14894.95,
A019,Patin Freno sup.del. y tras.Fiat 600-128-750.,11195.52,
A020,Pedalera de Embrague Ford y Chevrolet.,13610.24,
A021,Acelerador Ika. Gordini.,10493.06,
A022,Bombin de Freno y Embrague Ford Falcon.,9878.40,
A023,Freno de mano Fiat 600.,5927.04,
A024,Acelerador carburador Holley fino.Varios.,855.85,
A025,Acelerador carburador Holley. Grueso. Varios.,1144.41,
A026,Patin Freno Ika renault. Mod.viejo.,12073.60,
A027,Patin Freno superior trasero Fiat 1500-1600-125.,12073.60,
A028,Registro Freno de mano Dodge 1500.Mano Izquierda.,12073.60,
A029,Registro Freno de mano Dodge 1500. Mano derecha.,12073.60,
A030,Valvula interior Peugeot 504. Motor 1800-2000cc. Motor naf. Ref. Original 79.10.00.7413,18220.16,
A031,Valvula exterior Peugeot 504. Motor 1800-2000cc.Motor naf. Ref. Original 79.10.00.7414,32049.92,
A032,Retroceso pedalera de Embrague Ika Renault.,14268.80,
A033,Retorno cable de Embrague Fiat 600-128.,5770.56,
A034,Acelerador Dodge 1500 e Ika Renault. Largo.,9219.84,
A035,Acelerador Falcon y Siam Di tella. Cuerpo corto.,9219.84,
A036,Embrague 125-1600 90 HP.,12073.60,
A037,Resorte torsion caja pedalera Siam Di Tella.,11634.56,
A038,Sosten Patente trasera Peugeot.,7624.38,
A039,Acelerador Var.Izq.Mercedes Benz.Eq.con reformas.,11634.56,
A040,Acelerador var.der.Mercedes Benz.Eq. con reformas.,11634.56,
A041,Valvula Ford Falcon 6 cil.7bdas.Orig.C3DE6513A.,38416.00,
A042,Valvula Ford V8 239-256-293.Ref. orig.ECG-6513A.,42147.84,
A043,Acelerador Ford Falcon cuerpo largo.,10954.05,
A044,Capot camion y camioneta Dodge.,64758.40,
A045,Pedalera de Freno Camioneta Ford. Baul Fiat 128. Capot universal chico.,40830.72,
A046,Patin de Freno delantero Siam Di Tella y Morris.,14488.32,
A047,Embrague camiones Fiat.,24845.95,
A048,Patin zapata secundaria tras. y del. Rastrojero.,14488.32,
A049,Acelerador Universal Pata Larga.,9668.76,
A050,Retroceso Horq. Embrague Pik-Up Chevrolet y 400. Ford camiones cuerpo chico.,14488.32,
A051,Capot Chevrolet 400 -Ford camionetas y camiones.,75903.59,
A052,Capot Dodge 1500. Sosten asiento Peugeot unico mod. Capot universal mediano.,43562.61,
A053,Resorte de punta de palier Fiat 600.,1448.85,
A054,Pedal de Embrague Fiat 1500- 1600.,10869.97,
A055,Resorte de Valvula Fiat 133.Exterior.,30623.04,
A056,Resorte de Valvula Fiat 133. Interior.,17781.12,
