Codigo,Nombre,Direccion
1,Lujan de Cuyo SA 4308-0038,Pergamino 3750 (CTC - NAVE D)
2,De La Iglesia 4912-2164******,Pedro Baliña 4060
3,Sudoeste SA 4911-1127,Peperi 633
4,Heral (CTC),Pergamino 3750 (CTC) Nave 2 Nº 40/41
5,Misiones  TE:4923-5891 4923-8865,Av Riestra l655
6,Orsi O El Trebol 4942-6684,Uspallata 2638
7,Tin-Car 4301-3096,Galpon 2-Est F Belgrano Sud
8,Malargue 3754-7241 / 42 / 43 / 44 / 45 /,Av. Pergamino 3751. Villa Soldati
9,Ascencio 4919-8930,Beron de Astrada 2796
10,Obera. TE:4918-8592,Portella 3245
11,Sauer 4911-0348,Iguazu 1207
12,Pawe SRL 4911-8789,J.C.Paz 2934
13,Guillan 4942-4801,Colonia 371
14,La Camionera Mendocina 4931-9674,San Pedrito 3771
15,Oliva 4686-6666 / 6768/69,E. Rodo 6255
16,Di Batista 3754-7236/7,Pergamino 3751 Módulo 91 nave 4
17,El Tero (TE:21-0390),Azara 1337
18,Central Argentino ***,Traful 3773  - 4912-5262
19,Baroni 4632-7400,E. Bonorino 1246
20,Elisero (ELPIBO SA) 4301-4727,Pergamino 3751 CTC Nave B 44
21,El Tio 4638-0181 4601-5476,Cañada de Gomez 4163
22,El Quebrachito 4500-7324,Fructuoso Rivera 2660 
23,Ben-Hur 4854-9557,Galicia 367
24,Rodriguez Hnos 4918-8004,Erescano 3880
25,Goizueta 4911-6286,Grito de Ascensio 3247
26,Lanin 4925-6667,Chiclana 3444
27,Spacapan S.A *4 Copias C/Reemb 4911-9035,Los Patos 3196
28,Santos Gonzalez 4911-1127,Cortejarena 2969
29,El Libertador SRL. 4919-3642,Pergamino 3750 (CTC) Mod. C Nave C 70
30,Couto,Carlos Calvo 3102
31,M y B (no Esta Mas En Esta Direccion),Estacion Bs As Galpon 2
32,Ingolotti 4922-8478,Varela 3045
33,Mendez 4912-5590 4911-2850,Castañon 3685
34,Expreso Jouvre 4942-2749,Pedro Chutro 2451
35,COLECTIVO PARADA Liniers SAIC,Av Gral Paz 10752
36,Andreani 4208-6666/4852/4330/4854-0606,Fragata Sarmiento 2163 (CTC)
37,Sedano SRL 4931-5551,Sanchez de Loria 611
38,La Union 4911-1711,Grito de Ascencio 3141
39,Serena SRL 4911-8522/ 4912/2164,Pedro Baliña 4060
40,Colon 4942-2749,Pedro Chutro 2451
41,Ziegler 4911-6382,Cortejarena 2954
42,Alegre 4942-4801/4308,San Pedrito 3442
43,Junin (No Trabajar Con Este Trans),Monteagudo 754
44,Serena SRL 4912-2164 ,P.L. Balina 4060
45,Hada 4911-1115,Rio Cuarto 4552
46,Luke  4912-4418 / 4911-3459,Guarani 315
47,Solis 4942-5509,Amancio Alcorta 2733
48,Farmaco 4602-6314,Zuviria 6553
49,Traiser 4941-2550,Garay 3020
50,Union Misionera 4682-2284,Remedios 5941
51,MAIPU 4632-3174 (NO existe mas),Alte Segui 480
52,San Isidro 4911-0584,Zavaleta 301
53,Sacomer 4911-5514,P. Balina 4060
54,Lenis 4911-7897,Grito de Ascencio 3226
55,MORRESI 4919-3200/3162,Carlos Berg 3591
56,"Sanchez ""NO C/REEMBOLSO"" 4918-4482",Fructuoso Rivera 2600 (Y Varela)
57,El Amanecer 4218-3312,VALPARAISO 628. V. ALSINA
58,Amancay,Tilcara 3022
59,Bull Transporte 49423565 / 49425509,Amancio Alcorta 2733
60,San Jorge 4911-3499,Guarani 375
61,Parana 4431-7771,J.J.Biedma 529
62,Tarducci 4772-1100,N. Vega 4754
63,Cuyo Carga S.A 4302-7992,Sto Domingo 3400 (V. Sarf 1600
64,Ferrero,Beron de Astrada 2880
65,Marisur 4302-2388 Estacion Sola G 2 P20,Pinedo y Suarez y Australia
66,El Carrizal 4941-5281,LUNA 225 O MERC. CENTAL NAVE D1
67,La Surena 4911-6457,Pepiri 1535
68,Dos Ciudades: 4918-6017/19**,Ogorman 3572 Alt Rabanal 2100
69,Zuluaga 4911-1711,Grito de Ascencio 3141
70,Coffa (Tecro  - Coffa)   TE:4988-0098,Fragata Sarmiento 854-
71,Caroccio y Vairolatti 4 No C/R 4919-6297,27 De Febrero 5631
72,Sudamericana 4924-3201,Estacion Sola Suarez Y Pinedo
73,Don Guzman 4911-6286,Grito de Ascensio 3245
74,Rodar 4941-8187,PERGAMINO 3751
75,Arco Iris 4942-2749,Pedro Chutro 2451
76,Chap y Cia SRL 4911-2790,Pergamino 3750 (nave B 45) CTC
77,Madariaga 4306-6895,Brandsen 2727
78,Expreso del Sur 4942-8106,Monasterio 269
79,Pinna NO 4922-9848,Tabare 1240
80,Conte 4304-9969 4304-9123 /9125 /9076,Paracas 261 (cerca Borda)
81,TRANSPORTE PROPIO,
82,El Rapido (Cba La Carlota) 4911-5956,Bonavena 1255 (Ex Elia)
83,Cruz del Sur-Usuahia/R Grande,Perdamino 3751  (CTC - NAVE D)
84,Expreso Ramallo 4919-4329,Ferre 2630
85,Uspallata 4308-4624,Uspallata 2653
86,San Nicolas(NO MANDAR C/R)***,Rio Cuarto 3931
87,Hada 4911-1115,Rio Cuarto 4552
88,Cafi 4912-0094,Traful 3412
89,Zoco 4753-8955,Iturraspe 1046
90,Pedrito (NAVE 3),Pergamino 3751 Deposito 58/60 
91,El Rutero 4911-3673,Monteagudo 837
92,Benasi 4911-2178,Santo Domingo 4251
93,Entre Rios Expreso 4918-5121,San Pedrito 3486
94,"Hernandez (cerró, No Esta Mas)",Diaz Colodrero 2960
95,Aizcar 4911-2460,Grito de Ascensio 3632
96,Becher (San Juan) 4918-7462,Corrales 2223
97,Pico 4303-3130 / 4302-0830,Autralia 2758
